,Municipality,split,regularization,RMSE,R2
317,Norddjurs,Temporal,elastic,1615.4746326184709,-0.915904780633173
415,Norddjurs,Temporal,lasso,1635.0279706407523,-0.9625648157991288
513,Norddjurs,Temporal,ridge,1901.796114898694,-1.6552263374310183
142,Nordfyns,80/20,lasso,1113.2991721392757,0.7567330930518278
44,Nordfyns,80/20,ridge,1105.718412000247,0.7600347561837494
240,Nordfyns,8020,elastic,1112.414108235705,0.7571197297800083
338,Nordfyns,Temporal,elastic,1693.2610626541784,0.2162561920437081
436,Nordfyns,Temporal,lasso,1686.0420327715856,0.2229247551440334
534,Nordfyns,Temporal,ridge,1689.4713159112382,0.2197605148741614
145,Nyborg,80/20,lasso,578.2913823915843,0.9050291787846856
47,Nyborg,80/20,ridge,662.2564851006882,0.8754484341460212
243,Nyborg,8020,elastic,624.650647662855,0.8891919935705632
341,Nyborg,Temporal,elastic,2350.462145915771,-3.14409816244186
439,Nyborg,Temporal,lasso,2318.9995180889478,-3.033897217424704
537,Nyborg,Temporal,ridge,2223.253984265099,-2.707675098057848
153,Næstved,80/20,lasso,987.4010600506938,0.8771552866310742
55,Næstved,80/20,ridge,994.6909134830564,0.8753346977227427
251,Næstved,8020,elastic,988.2943396042416,0.8769329163857885
349,Næstved,Temporal,elastic,2946.4176368511053,-1.1865787816654287
447,Næstved,Temporal,lasso,2946.4176368511053,-1.1865787816654287
545,Næstved,Temporal,ridge,1902.2025306875155,0.088639862676231
119,Odder,80/20,lasso,996.921385859928,0.8701105853494099
21,Odder,80/20,ridge,828.2260238822726,0.9103501268358236
217,Odder,8020,elastic,996.921385859928,0.8701105853494099
315,Odder,Temporal,elastic,3750.570876521211,-6.1090094058895374
413,Odder,Temporal,lasso,3677.471184846477,-5.834596688573762
511,Odder,Temporal,ridge,3519.5554596836387,-5.260225265175951
144,Odense,80/20,lasso,967.5674827266316,0.9411996483359888
46,Odense,80/20,ridge,1060.1398687969904,0.9294099110400794
242,Odense,8020,elastic,967.5674827266316,0.9411996483359888
340,Odense,Temporal,elastic,2283.659817953104,-0.1399372216517915
438,Odense,Temporal,lasso,2401.174579157804,-0.2602757732768808
536,Odense,Temporal,ridge,2430.560033407779,-0.2913109051243552
163,Odsherred,80/20,lasso,1001.2866160671182,0.7812779920311194
65,Odsherred,80/20,ridge,929.294223404866,0.8115994626549935
261,Odsherred,8020,elastic,1001.6937266948124,0.7811000966021273
359,Odsherred,Temporal,elastic,1899.646411005942,-0.255445064276679
457,Odsherred,Temporal,lasso,1442.479581415041,0.2761117631880551
555,Odsherred,Temporal,ridge,2057.080852343239,-0.4721595958753077
118,Randers,80/20,lasso,689.7312406035628,0.9077474817037464
20,Randers,80/20,ridge,816.5442882650422,0.8707061325838752
216,Randers,8020,elastic,675.1074629190649,0.9116179128095424
314,Randers,Temporal,elastic,1848.1741510582856,0.0979477676189775
412,Randers,Temporal,lasso,2040.7667216498824,-0.0998478987179507
510,Randers,Temporal,ridge,1980.429753057948,-0.0357734789606232
102,Rebild,80/20,lasso,668.4099185571134,0.9041494586647296
4,Rebild,80/20,ridge,677.662143902936,0.9014775395253718
200,Rebild,8020,elastic,668.4099185571134,0.9041494586647296
298,Rebild,Temporal,elastic,1501.7628582698285,0.10902588400693
396,Rebild,Temporal,lasso,1551.510962644324,0.0490185047386709
494,Rebild,Temporal,ridge,1636.057075972165,-0.0574486088451391
112,Ringkøbing-Skjern,80/20,lasso,539.6573819689505,0.8423635794576083
14,Ringkøbing-Skjern,80/20,ridge,533.404167716896,0.8459955997212936
210,Ringkøbing-Skjern,8020,elastic,535.71062211075,0.8446608816839083
308,Ringkøbing-Skjern,Temporal,elastic,1164.8671305151302,-0.0893758257664862
406,Ringkøbing-Skjern,Temporal,lasso,1114.8446215453027,0.0021767064725707
504,Ringkøbing-Skjern,Temporal,ridge,1037.7763664234571,0.1353656115762607
159,Ringsted,80/20,lasso,827.9411472197293,0.938315383916795
61,Ringsted,80/20,ridge,799.4074082497174,0.9424938530581368
257,Ringsted,8020,elastic,827.9411472197293,0.938315383916795
355,Ringsted,Temporal,elastic,14537.159479421229,-33.74980147188369
453,Ringsted,Temporal,lasso,14503.16322996552,-33.58746142633713
551,Ringsted,Temporal,ridge,4009.1802606827855,-1.6430439500028289
166,Roskilde,80/20,lasso,1253.4565622606965,0.953680282238246
68,Roskilde,80/20,ridge,1304.4410162934182,0.949835530946184
264,Roskilde,8020,elastic,1250.7441386865612,0.9538805329049918
362,Roskilde,Temporal,elastic,3716.8152899109705,-0.4105749262565632
460,Roskilde,Temporal,lasso,5564.050825757997,-2.1610864899336137
558,Roskilde,Temporal,ridge,4475.770498546221,-1.0454544865090267
172,Rudersdal,80/20,lasso,2373.749585686641,0.9078270411582086
74,Rudersdal,80/20,ridge,2343.6306693950714,0.9101512435914
270,Rudersdal,8020,elastic,2326.212081137758,0.9114818479298062
368,Rudersdal,Temporal,elastic,3615.426828370388,-0.0257749317986921
466,Rudersdal,Temporal,lasso,4228.36955164763,-0.4030682668169671
564,Rudersdal,Temporal,ridge,2730.3861031518863,0.4149660647240411
182,Rødovre,80/20,lasso,1070.4798206261178,0.9798030910050008
84,Rødovre,80/20,ridge,1068.6617108350033,0.9798716378647868
280,Rødovre,8020,elastic,1044.4972779144016,0.9807716258673386
378,Rødovre,Temporal,elastic,12710.172757498112,-13.591244819074788
476,Rødovre,Temporal,lasso,11567.523998139175,-11.085656751421515
574,Rødovre,Temporal,ridge,14573.73032000139,-18.18363465750566
116,Samsø,80/20,lasso,2054.9249396527084,0.3580607231372121
18,Samsø,80/20,ridge,1968.7705979334787,0.4107599571188975
214,Samsø,8020,elastic,1996.7609498883264,0.3938862000880214
312,Samsø,Temporal,elastic,2722.6726615255207,-1.5646563157758324
410,Samsø,Temporal,lasso,2548.822822809415,-1.2475926735664986
